mesa_id,partido_posicion,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000990,10,PARTIDO SICREO,1.0,1.0,0.0,0.0
000990,11,PARTIDO PAÍS PARA TODOS,1.0,1.0,0.0,0.0
000990,12,PARTIDO FRENTE DE LA ESPERANZA 2021,1.0,1.0,0.0,0.0
000990,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,1.0,1.0,0.0,0.0
000990,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000990,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1.0,1.0,0.0,0.0
000990,16,JUNTOS POR EL PERÚ,84.0,80.0,-4.0,-4.761904761904762
000990,17,PODEMOS PERÚ,5.0,4.0,-1.0,-20.0
000990,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
000990,19,FE EN EL PERÚ,1.0,1.0,0.0,0.0
000990,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.0,0.0,0.0,
000990,21,FUERZA POPULAR,26.0,23.0,-3.0,-11.538461538461538
000990,22,ALIANZA PARA EL PROGRESO,4.0,2.0,-2.0,-50.0
000990,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,2.0,2.0,0.0,0.0
000990,24,AHORA NACIÓN - AN,9.0,6.0,-3.0,-33.33333333333333
000990,25,LIBERTAD POPULAR,0.0,0.0,0.0,
000990,26,UN CAMINO DIFERENTE,0.0,0.0,0.0,
000990,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
000990,28,PERÚ MODERNO,0.0,0.0,0.0,
000990,29,PARTIDO POLÍTICO PERÚ PRIMERO,4.0,4.0,0.0,0.0
000990,30,SALVEMOS AL PERÚ,1.0,1.0,0.0,0.0
000990,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,2.0,2.0,0.0,0.0
000990,32,PARTIDO APRISTA PERUANO,1.0,1.0,0.0,0.0
000990,33,RENOVACIÓN POPULAR,4.0,4.0,0.0,0.0
000990,34,PARTIDO DEMÓCRATA UNIDO PERÚ,1.0,1.0,0.0,0.0
000990,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
000990,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,1.0,0.0,-1.0,-100.0
000990,37,UNIDAD NACIONAL,0.0,0.0,0.0,
000990,38,PARTIDO MORADO,1.0,0.0,-1.0,-100.0
000990,80,VOTOS EN BLANCO,29.0,116.0,87.0,300.0
000990,81,VOTOS NULOS,11.0,17.0,6.0,54.54545454545454
000990,99,TOTAL DE CIUDADANOS QUE VOTARON,220.0,300.0,80.0,36.36363636363637
001015,1,ALIANZA ELECTORAL VENCEREMOS,1.0,1.0,0.0,0.0
001015,2,PARTIDO PATRIÓTICO DEL PERÚ,2.0,1.0,-1.0,-50.0
001015,3,PARTIDO CÍVICO OBRAS,11.0,11.0,0.0,0.0
001015,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
001015,5,PARTIDO DEMÓCRATA VERDE,0.0,1.0,1.0,
001015,6,PARTIDO DEL BUEN GOBIERNO,4.0,3.0,-1.0,-25.0
001015,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
001015,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
001015,9,PROGRESEMOS,0.0,0.0,0.0,
001015,10,PARTIDO SICREO,1.0,1.0,0.0,0.0
001015,11,PARTIDO PAÍS PARA TODOS,3.0,3.0,0.0,0.0
001015,12,PARTIDO FRENTE DE LA ESPERANZA 2021,0.0,0.0,0.0,
001015,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,2.0,2.0,0.0,0.0
001015,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
001015,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0.0,0.0,0.0,
001015,16,JUNTOS POR EL PERÚ,51.0,52.0,1.0,1.9607843137254901
001015,17,PODEMOS PERÚ,3.0,4.0,1.0,33.33333333333333
001015,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
001015,19,FE EN EL PERÚ,0.0,0.0,0.0,
001015,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.0,1.0,1.0,
001015,21,FUERZA POPULAR,25.0,25.0,0.0,0.0
001015,22,ALIANZA PARA EL PROGRESO,0.0,1.0,1.0,
001015,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.0,1.0,0.0,0.0
001015,24,AHORA NACIÓN - AN,8.0,6.0,-2.0,-25.0
001015,25,LIBERTAD POPULAR,0.0,0.0,0.0,
001015,26,UN CAMINO DIFERENTE,1.0,0.0,-1.0,-100.0
001015,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
001015,28,PERÚ MODERNO,0.0,0.0,0.0,
001015,29,PARTIDO POLÍTICO PERÚ PRIMERO,0.0,0.0,0.0,
001015,30,SALVEMOS AL PERÚ,0.0,0.0,0.0,
001015,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1.0,2.0,1.0,100.0
001015,32,PARTIDO APRISTA PERUANO,2.0,2.0,0.0,0.0
001015,33,RENOVACIÓN POPULAR,3.0,3.0,0.0,0.0
001015,34,PARTIDO DEMÓCRATA UNIDO PERÚ,2.0,2.0,0.0,0.0
001015,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
001015,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
001015,37,UNIDAD NACIONAL,7.0,1.0,-6.0,-85.71428571428571
001015,38,PARTIDO MORADO,0.0,0.0,0.0,
001015,80,VOTOS EN BLANCO,46.0,51.0,5.0,10.869565217391305
001015,81,VOTOS NULOS,12.0,6.0,-6.0,-50.0
001015,99,TOTAL DE CIUDADANOS QUE VOTARON,180.0,180.0,0.0,0.0
001046,1,ALIANZA ELECTORAL VENCEREMOS,3.0,3.0,0.0,0.0
001046,2,PARTIDO PATRIÓTICO DEL PERÚ,4.0,4.0,0.0,0.0
001046,3,PARTIDO CÍVICO OBRAS,23.0,24.0,1.0,4.3478260869565215
001046,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
001046,5,PARTIDO DEMÓCRATA VERDE,1.0,1.0,0.0,0.0
001046,6,PARTIDO DEL BUEN GOBIERNO,16.0,15.0,-1.0,-6.25
001046,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
001046,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
