mpio_reg_code_7,dept_reg_code,dept_name,mpio_name,is_exterior,censo,num_mesas
1100073,1100,CAUCA,SAN SEBASTIAN,False,7348,24
1100076,1100,CAUCA,SANTANDER DE QUILICHAO,False,86978,247
1100079,1100,CAUCA,SANTA ROSA,False,4311,19
1100082,1100,CAUCA,SILVIA,False,24867,81
1100085,1100,CAUCA,SOTARA (PAISPAMBA),False,7852,29
1100086,1100,CAUCA,SUCRE,False,6195,23
1100087,1100,CAUCA,SUAREZ,False,19307,62
1100088,1100,CAUCA,TIMBIO,False,28887,93
1100091,1100,CAUCA,TIMBIQUI,False,16363,61
1100094,1100,CAUCA,TORIBIO,False,21556,68
1100097,1100,CAUCA,TOTORO,False,13520,44
1100098,1100,CAUCA,VILLA RICA,False,15894,49
1200001,1200,CESAR,VALLEDUPAR,False,349551,1047
1200075,1200,CESAR,AGUACHICA,False,78338,245
1200150,1200,CESAR,AGUSTIN CODAZZI,False,54423,157
1200170,1200,CESAR,ASTREA,False,17189,53
1200180,1200,CESAR,BECERRIL,False,19915,62
1200200,1200,CESAR,BOSCONIA,False,33947,104
1200225,1200,CESAR,CURUMANI,False,31596,100
1200300,1200,CESAR,CHIMICHAGUA,False,26644,86
1200375,1200,CESAR,CHIRIGUANA,False,25314,77
1200410,1200,CESAR,EL COPEY,False,26359,82
1200415,1200,CESAR,EL PASO,False,29352,86
1200450,1200,CESAR,GAMARRA,False,11458,38
1200525,1200,CESAR,GONZALEZ,False,4922,19
1200600,1200,CESAR,LA GLORIA,False,11902,39
1200608,1200,CESAR,LA JAGUA DE IBIRICO,False,32951,101
1200625,1200,CESAR,MANAURE BALCON DEL CESAR (MANA,False,9357,31
1200650,1200,CESAR,PAILITAS,False,16794,52
1200700,1200,CESAR,PELAYA,False,17469,53
1200720,1200,CESAR,PUEBLO BELLO,False,23782,73
1200750,1200,CESAR,RIO DE ORO,False,16963,56
1200800,1200,CESAR,SAN ALBERTO,False,20487,65
1200825,1200,CESAR,LA PAZ,False,23907,74
1200850,1200,CESAR,SAN DIEGO,False,17333,55
1200875,1200,CESAR,SAN MARTIN,False,19805,63
1200900,1200,CESAR,TAMALAMEQUE,False,11595,38
1300001,1300,CORDOBA,MONTERIA,False,376892,1138
1300004,1300,CORDOBA,AYAPEL,False,36987,117
1300007,1300,CORDOBA,BUENAVISTA,False,19576,64
1300009,1300,CORDOBA,CANALETE,False,18357,58
1300010,1300,CORDOBA,CERETE,False,79395,238
1300013,1300,CORDOBA,CIENAGA DE ORO,False,49141,152
1300014,1300,CORDOBA,COTORRA (BONGO),False,16845,52
1300016,1300,CORDOBA,CHIMA,False,13686,43
1300019,1300,CORDOBA,CHINU,False,40765,137
1300020,1300,CORDOBA,LA APARTADA (FRONTERA),False,13126,41
1300022,1300,CORDOBA,LORICA,False,94814,287
1300023,1300,CORDOBA,LOS CORDOBAS,False,16858,56
1300024,1300,CORDOBA,MOMIL,False,15124,46
1300025,1300,CORDOBA,MONTELIBANO,False,63800,187
1300027,1300,CORDOBA,MOÑITOS,False,22402,69
1300028,1300,CORDOBA,PLANETA RICA,False,57839,162
1300031,1300,CORDOBA,PUEBLO NUEVO,False,28189,90
1300032,1300,CORDOBA,PUERTO LIBERTADOR,False,32875,102
1300033,1300,CORDOBA,PUERTO ESCONDIDO,False,20510,65
1300034,1300,CORDOBA,PURISIMA,False,14875,47
1300037,1300,CORDOBA,SAHAGUN,False,86638,271
1300040,1300,CORDOBA,SAN ANDRES DE SOTAVENTO,False,32798,99
1300043,1300,CORDOBA,SAN ANTERO,False,25053,78
1300046,1300,CORDOBA,SAN BERNARDO DEL VIENTO,False,29363,92
1300049,1300,CORDOBA,SAN CARLOS,False,22129,69
1300052,1300,CORDOBA,SAN JOSE DE URE,False,8745,31
1300055,1300,CORDOBA,SAN PELAYO,False,39286,116
1300058,1300,CORDOBA,TIERRALTA,False,73305,231
1300060,1300,CORDOBA,TUCHIN,False,28285,89
1300061,1300,CORDOBA,VALENCIA,False,29327,93
1500004,1500,CUNDINAMARCA,AGUA DE DIOS,False,10001,30
1500007,1500,CUNDINAMARCA,ALBAN,False,5545,17
1500010,1500,CUNDINAMARCA,ANAPOIMA,False,13487,41
1500013,1500,CUNDINAMARCA,ANOLAIMA,False,12351,38
1500016,1500,CUNDINAMARCA,ARBELAEZ,False,9943,31
1500019,1500,CUNDINAMARCA,BELTRAN,False,2278,7
1500022,1500,CUNDINAMARCA,BITUIMA,False,3023,11
1500025,1500,CUNDINAMARCA,BOJACA,False,7519,23
1500029,1500,CUNDINAMARCA,CABRERA,False,3687,12
1500030,1500,CUNDINAMARCA,CACHIPAY,False,9965,31
1500031,1500,CUNDINAMARCA,CAJICA,False,65041,201
1500034,1500,CUNDINAMARCA,CAPARRAPI,False,10960,37
1500037,1500,CUNDINAMARCA,CAQUEZA,False,15096,48
1500040,1500,CUNDINAMARCA,CARMEN DE CARUPA,False,6504,21
1500043,1500,CUNDINAMARCA,COGUA,False,16878,52
1500046,1500,CUNDINAMARCA,COTA,False,31160,96
1500049,1500,CUNDINAMARCA,CUCUNUBA,False,5394,17
1500052,1500,CUNDINAMARCA,CHAGUANI,False,4094,13
1500055,1500,CUNDINAMARCA,CHIA,False,120600,360
